날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2019-12-31,232.806,232.187,225.289,227.832,214.567,217.282,212.589,220.307,227.996,229.339,216.633,225.665,223.87,222.347,225.724,232.442,230.57,220.245,213.206,204.969,198.702,179.385,151.647,135.199
2020-01-01,147.164,114.776,108.452,128.533,114.624,119.345,106.738,109.262,96.804,106.978,115.449,113.46,92.388,82.683,77.435,98.188,115.832,85.207,80.352,77.486,67.555,59.868,62.058,65.877
2020-01-02,55.083,42.291,31.849,29.339,53.423,60.917,49.21,39.14,24.951,27.781,28.476,30.968,30.327,38.399,27.281,36.007,61.487,83.558,72.079,63.024,70.284,101.223,96.358,69.254
2020-01-03,67.968,65.601,66.994,100.656,101.435,91.995,78.199,56.379,44.019,44.422,42.764,58.18,82.871,94.764,81.112,113.56,149.357,137.695,137.389,132.513,116.049,95.475,90.265,101.373
2020-01-04,104.255,89.746,75.62,76.142,79.572,87.4,77.842,97.212,75.33,54.436,66.859,80.266,58.71,47.217,66.563,107.018,120.739,120.048,120.043,122.499,102.517,121.364,121.479,116.35
2020-01-05,116.586,98.966,84.504,71.256,80.198,81.316,94.333,79.533,54.468,23.371,20.651,11.073,6.978,5.596,3.435,2.037,1.765,2.191,1.953,2.194,4.039,4.891,13.186,10.377
2020-01-06,6.307,21.324,40.327,20.337,16.47,10.34,26.413,47.602,39.644,61.33,92.4,89.696,97.939,94.48,97.824,65.669,47.988,65.339,75.179,90.272,113.539,126.47,126.744,99.867
2020-01-07,98.884,100.238,99.441,102.295,115.317,108.897,123.998,151.083,138.246,137.893,182.156,198.583,195.501,178.176,169.578,214.346,229.669,236.757,228.59,195.962,202.002,219.303,207.818,193.066
2020-01-08,180.568,187.362,172.913,154.414,131.654,129.194,132.247,156.166,164.207,177.727,194.339,186.899,195.752,199.866,205.766,211.331,230.364,234.97,227.92,231.947,224.583,216.362,198.589,194.602
2020-01-09,210.066,154.865,150.18,169.873,168.136,179.203,177.341,181.131,200.043,164.435,140.055,123.257,124.805,103.821,111.948,136.778,141.303,125.422,137.61,161.485,155.665,176.476,182.865,170.892
2020-01-10,171.512,161.317,178.771,160.162,114.875,95.424,78.18,50.487,55.525,40.618,29.668,21.931,13.689,6.817,4.904,7.342,4.874,7.761,12.496,12.436,15.477,13.391,17.54,17.345
2020-01-11,19.153,25.379,32.141,47.159,76.886,77.285,92.602,142.307,143.23,132.567,145.619,128.425,117.763,111.772,130.359,133.401,116.497,117.418,126.731,148.393,161.102,180,203.395,188.913
2020-01-12,193.837,195.943,182.743,193.303,147.844,122.336,137.559,148.135,148.847,174.636,191.519,198.31,186.768,195.699,191.329,173.202,161.684,164.495,156.222,152.941,129.656,127.823,127.663,132.222
2020-01-13,121.824,119.775,106.826,115.29,119.731,94.614,83.159,81.816,75.728,78.513,102.954,108.972,118.638,116.119,132.806,131.014,87.275,92.651,55.227,68.38,66.214,54.555,50.486,42.384
2020-01-14,35.767,38.798,26.214,29.429,44.514,61.24,58.151,59.024,43.363,42.505,45.159,63.182,125.504,129.825,117.651,99.576,78.012,101.115,104.866,46.525,43.62,50.918,25.114,9.337
2020-01-15,27.264,29.438,37.322,76.676,80.187,69.801,69.321,53.677,45.711,49.68,54.716,57.667,76.749,96,107.147,88.935,106.347,135.249,119.254,85.87,70.012,58.068,58.031,56.453
2020-01-16,62.05,66.266,86.958,108.191,109.941,88.113,88.052,99.503,80.082,70.939,34.721,23.279,27.061,23.362,34.761,33.709,28.678,27.455,34.272,28.599,32.386,26.782,34.702,44.151
2020-01-17,55.316,53.237,53.51,49.028,60.387,58.088,83.334,126.727,141.699,171.839,180.948,184.695,172.716,176.735,202.008,214.728,211.029,195.684,179.155,182.536,147.612,151.194,153.703,192.26
2020-01-18,200.516,205.634,204.199,208.013,221.257,220.286,206.809,186.986,172.761,193.595,201.369,176.645,140.468,137.327,148.629,161.923,179.172,194.33,211.339,171.158,156.448,122.791,87.672,99.168
2020-01-19,105.824,84.909,92.503,98.686,112.497,120.123,124.903,115.688,114.635,86.588,83.235,63.522,73.43,91.622,99.991,99.405,108.423,96.376,69.918,62.01,48.936,60.354,78.519,92.086
2020-01-20,76.486,65.763,71.87,86.05,97.912,116.234,109.754,110.094,92.716,91.157,113.25,137.12,138.825,151.574,178.397,171.699,172.185,146.158,137.755,152.233,171.895,143.678,144.401,128.075
2020-01-21,131.691,172.439,179.486,167.855,122.929,98.135,95.672,75.168,72.768,84.259,74.308,33.64,14.203,7.988,10.159,11.378,6.486,4.28,10.083,9.831,8.758,5.128,7.833,8.585
2020-01-22,9.086,8.09,11.154,11.621,23.926,24.747,22.137,19.388,18.132,25.5,30.28,30.089,38.811,28.388,23.897,19.431,14.403,9.841,6.564,1.127,0.803,1.179,2.872,1.612
2020-01-23,1.786,5.445,8.544,17.134,14.642,16.191,51.172,62.103,78.951,50.819,57.153,56.037,50.376,57.962,89.7,105.231,99.232,89.067,82.082,61.134,83.108,99.021,83.961,47.486
2020-01-24,32.728,39.621,68.774,112.372,131.927,108.239,110.964,114.321,79.924,88.072,70.522,55.551,36.282,38.084,56.99,65.614,48.557,41.695,43.159,41.597,58.958,44.819,50.242,38.435
